uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,ID,FeatureAuthor,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,FeatureType,MapSymbol,Source,Note,GC,DateCompleted,Description,Classification,OtherDescription,Picture,geospatialcolumn
1.00005E+18,202012,Stephanie Black,2017-09-18 04:28:57.560 GMT,Stephanie Black,2017-09-18 04:29:05 GMT,202012,Stephanie Black,2017-09-18 07:28:49+03:00,42.16179862,26.16366887,4668079.257,430912.5345,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(430912.534467 4668079.256882)
1.00003E+18,202220,Lachlan Hanley,2017-09-18 04:29:30.076 GMT,Lachlan Hanley,2017-09-18 04:29:30 GMT,202220,Lachlan Hanley,2017-09-18 07:29:20+03:00,42.64583789,26.03749109,4721935.918,421098.096,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(421098.095964 4721935.918289)
1.00003E+18,202221,Lachlan Hanley,2017-09-18 04:29:47.662 GMT,Lachlan Hanley,2017-09-18 04:29:47 GMT,202221,Lachlan Hanley,2017-09-18 07:29:37+03:00,42.64371169,26.05663071,4721682.14,422664.4494,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(422664.449373 4721682.139798)
1.00005E+18,202013,Stephanie Black,2017-09-18 04:29:59.362 GMT,Stephanie Black,2017-09-18 04:30:05 GMT,202013,Stephanie Black,2017-09-18 07:29:51+03:00,42.15290165,26.17920807,4667078.937,432186.7039,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(432186.703892 4667078.937299)
1.00003E+18,202222,Lachlan Hanley,2017-09-18 04:30:14.446 GMT,Lachlan Hanley,2017-09-18 04:30:14 GMT,202222,Lachlan Hanley,2017-09-18 07:30:03+03:00,42.6452244,26.08154896,4721827.629,424709.0374,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(424709.037354 4721827.629053)
1.00005E+18,202014,Stephanie Black,2017-09-18 04:30:42.175 GMT,Stephanie Black,2017-09-18 04:30:48 GMT,202014,Stephanie Black,2017-09-18 07:30:34+03:00,42.15655107,26.20047724,4667467.468,433947.7554,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(433947.755372 4667467.467642)
1.00003E+18,202223,Lachlan Hanley,2017-09-18 04:30:55.355 GMT,Lachlan Hanley,2017-09-18 04:30:55 GMT,202223,Lachlan Hanley,2017-09-18 07:30:44+03:00,42.64638693,26.12389828,4721919.885,428182.0268,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428182.026842 4721919.884699)
1.00003E+18,202224,Lachlan Hanley,2017-09-18 04:31:13.008 GMT,Lachlan Hanley,2017-09-18 04:31:17 GMT,202224,Lachlan Hanley,2017-09-18 07:31:06+03:00,42.64030109,26.14884531,4721223.213,430220.2577,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(430220.257739 4721223.213238)
1.00005E+18,202015,Stephanie Black,2017-09-18 04:31:17.265 GMT,Stephanie Black,2017-09-18 04:31:22 GMT,202015,Stephanie Black,2017-09-18 07:31:09+03:00,42.15764641,26.21883918,4667575.041,435465.842,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(435465.841969 4667575.040529)
1.00005E+18,202016,Stephanie Black,2017-09-18 04:32:23.973 GMT,Stephanie Black,2017-09-18 04:32:23 GMT,202016,Stephanie Black,2017-09-18 07:32:14+03:00,42.15526521,26.08978338,4667416.278,424801.2328,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(424801.23275 4667416.278069)
1.00005E+18,202017,Stephanie Black,2017-09-18 04:32:49.409 GMT,Stephanie Black,2017-09-18 04:32:49 GMT,202017,Stephanie Black,2017-09-18 07:32:38+03:00,42.15212377,26.08756407,4667069.431,424614.1511,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(424614.151145 4667069.430743)
1.00003E+18,202225,Lachlan Hanley,2017-09-18 04:33:09.178 GMT,Lachlan Hanley,2017-09-18 04:33:09 GMT,202225,Lachlan Hanley,2017-09-18 07:33:01+03:00,42.64451434,26.2197026,4721635.034,436033.6598,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(436033.659833 4721635.033976)
1.00003E+18,202226,Lachlan Hanley,2017-09-18 04:33:30.815 GMT,Lachlan Hanley,2017-09-18 04:33:36 GMT,202226,Lachlan Hanley,2017-09-18 07:33:24+03:00,42.6441249,26.23273088,4721582.018,437101.2907,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(437101.290719 4721582.018396)
1.00003E+18,202227,Lachlan Hanley,2017-09-18 04:33:53.231 GMT,Lachlan Hanley,2017-09-18 04:33:53 GMT,202227,Lachlan Hanley,2017-09-18 07:33:44+03:00,42.63878885,26.2365086,4720986.69,437405.6306,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(437405.630568 4720986.689541)
1.00005E+18,202018,Stephanie Black,2017-09-18 04:35:04.496 GMT,Stephanie Black,2017-09-18 04:35:04 GMT,202018,Stephanie Black,2017-09-18 07:34:54+03:00,42.14193682,26.02022062,4666000.004,419037.1734,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(419037.173355 4666000.00381)
1.00005E+18,202019,Stephanie Black,2017-09-18 04:35:27.618 GMT,Stephanie Black,2017-09-18 04:35:33 GMT,202019,Stephanie Black,2017-09-18 07:35:20+03:00,42.13547172,26.01955871,4665282.791,418974.2344,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(418974.234373 4665282.790725)
1.00003E+18,202228,Lachlan Hanley,2017-09-18 04:36:34.584 GMT,Lachlan Hanley,2017-09-18 04:36:40 GMT,202228,Lachlan Hanley,2017-09-18 07:36:28+03:00,42.6444087,26.24148706,4721607.057,437819.3857,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(437819.385672 4721607.057185)
1.00005E+18,202020,Stephanie Black,2017-09-18 04:37:17.936 GMT,Stephanie Black,2017-09-18 04:37:23 GMT,202020,Stephanie Black,2017-09-18 07:37:11+03:00,42.14134328,26.05427304,4665902.373,421850.3479,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(421850.347901 4665902.372533)
1.00005E+18,202021,Stephanie Black,2017-09-18 04:38:08.223 GMT,Stephanie Black,2017-09-18 04:38:14 GMT,202021,Stephanie Black,2017-09-18 07:38:01+03:00,42.13239978,26.04802295,4664915.088,421322.7999,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(421322.799915 4664915.088088)
1.00003E+18,202229,Lachlan Hanley,2017-09-18 04:38:20.798 GMT,Lachlan Hanley,2017-09-18 04:38:20 GMT,202229,Lachlan Hanley,2017-09-18 07:38:09+03:00,42.63462923,26.23248719,4720527.78,437071.7454,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(437071.745382 4720527.78042)
1.00003E+18,202230,Lachlan Hanley,2017-09-18 04:38:51.041 GMT,Lachlan Hanley,2017-09-18 04:38:51 GMT,202230,Lachlan Hanley,2017-09-18 07:38:35+03:00,42.63375121,26.18287664,4720468.384,433003.2191,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(433003.219148 4720468.384292)
1.00005E+18,202022,Stephanie Black,2017-09-18 04:39:05.307 GMT,Stephanie Black,2017-09-18 04:39:05 GMT,202022,Stephanie Black,2017-09-18 07:38:54+03:00,42.13268703,26.07123561,4664925.857,423241.6,,Mound,Hairy brown circle,TopomapRU 1:50k,4,No,18/09/2017,,,,,POINT(423241.600027 4664925.857062)
1.00003E+18,202231,Lachlan Hanley,2017-09-18 04:39:15.872 GMT,Lachlan Hanley,2017-09-18 04:39:15 GMT,202231,Lachlan Hanley,2017-09-18 07:39:07+03:00,42.629525,26.14697733,4720028.155,430055.0479,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(430055.047924 4720028.155432)
